Title,Genre,Languages,Series or Movie,Runtime,View Rating,IMDb Score,Rotten Tomatoes Score,Boxoffice
El Nino,"Action, Adventure, Crime, Drama, Thriller","Spanish, Arabic, English",Movie,> 2 hrs,Not Rated,6.4,,"$1,237 "
Big Girls Dont Cry,Drama,German,Movie,1-2 hour,R,6.9,20,"$1,238 "
Billionaire Boys Club,"Biography, Drama, Thriller",English,Movie,1-2 hour,R,5.6,7,"$1,349 "
I Still See You,"Fantasy, Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,PG-13,5.8,8,"$1,359 "
Be with Me,"Drama, Romance","Cantonese, English, Hokkien, Mandarin",Movie,1-2 hour,Not Rated,7,90,"$1,365 "
Be with Me,"Drama, Romance","Cantonese, English, Hokkien, Mandarin",Series,< 30 minutes,Not Rated,7,90,"$1,365 "
Marrowbone,"Drama, Horror, Mystery, Thriller",English,Movie,1-2 hour,R,6.7,49,"$1,377 "
The Outcasts,Comedy,English,Movie,1-2 hour,PG-13,5.5,56,"$1,455 "
Almost Friends,"Comedy, Drama",English,Movie,1-2 hour,TV-MA,5.9,,"$1,481 "
Pusher,"Crime, Thriller","Danish, Swedish, Serbian",Movie,1-2 hour,Not Rated,7.4,,"$1,605 "
Pusher 2: With Blood on My Hands,"Action, Crime, Drama","Danish, Serbian",Movie,1-2 hour,Not Rated,7.4,100,"$1,605 "
Summer in February,"Biography, Drama, Romance",English,Movie,1-2 hour,Not Rated,5.6,30,"$1,624 "
Chalet Girl,"Comedy, Romance, Sport","English, German",Movie,1-2 hour,R,6.3,77,"$1,710 "
The Road to Love,Drama,"Arabic, French",Series,< 30 minutes,Not Rated,6.6,40,"$1,714 "
10x10,"Drama, Thriller",English,Movie,1-2 hour,,5.1,67,"$2,263 "
Goldie,Drama,English,Movie,1-2 hour,TV-MA,5.5,,"$2,302 "
1000 Rupee Note,Drama,Marathi,Movie,1-2 hour,Not Rated,7.3,80,"$2,404 "
The Protector 2,Action,"English, Thai",Movie,1-2 hour,R,5.3,17,"$2,463 "
My Fuhrer,"Comedy, Drama, War","German, Hebrew, Yiddish",Movie,1-2 hour,,5.5,53,"$2,465 "
Take Me,"Comedy, Crime",English,Movie,1-2 hour,TV-MA,6.1,70,"$2,583 "
Los Últimos de Filipinas,"Drama, History, War",Spanish,Movie,> 2 hrs,R,6.5,,"$2,848 "
Zokkomon,"Action, Adventure","Hindi, English",Movie,1-2 hour,PG,4,50,"$3,000 "
ATM,"Horror, Thriller",English,Movie,> 2 hrs,R,4.7,12,"$3,010 "
The Girl on the Train,"Action, Thriller",English,Movie,1-2 hour,R,4.3,26,"$3,124 "
Justice,"Drama, Western",,Movie,1-2 hour,R,4,,"$3,259 "
Planetarium,"Drama, Fantasy, Mystery, Romance, Thriller","English, French",Movie,1-2 hour,Not Rated,4.6,16,"$3,262 "
Bad Match,"Mystery, Thriller",,Movie,1-2 hour,TV-MA,5.5,100,"$3,351 "
Sleepless Night,"Action, Crime, Thriller",French,Movie,1-2 hour,Not Rated,6.6,97,"$3,358 "
Disappearance at Clifton Hill,"Drama, Mystery, Thriller",English,Movie,1-2 hour,Unrated,5.5,,"$3,449 "
Dalida,"Biography, Drama, Music","French, Italian, English, Arabic",Movie,> 2 hrs,PG,6.9,,"$3,465 "
Az állampolgár,Drama,Hungarian,Movie,1-2 hour,,7.2,,"$3,495 "
The Day I Saw Your Heart,"Comedy, Drama",French,Movie,1-2 hour,Not Rated,6.5,58,"$3,546 "
Mr. Nobody,"Drama, Fantasy, Romance, Sci-Fi","English, Mohawk",Movie,> 2 hrs,R,7.8,68,"$3,622 "
A Girl Called Rosemarie,"Biography, Crime, Drama",German,Movie,> 2 hrs,Not Rated,6.4,45,"$3,744 "
Dagh Ujala,"Crime, Drama, Romance, Thriller","English, Hindi",Movie,1-2 hour,Not Rated,5.1,0,"$3,778 "
Afterschool,"Drama, Mystery",English,Movie,1-2 hour,Not Rated,6.1,80,"$3,911 "
Thunder and the House Of Magic,"Animation, Adventure, Comedy, Family, Fantasy","English, French, German",Movie,1-2 hour,Not Rated,6.2,73,"$4,091 "
Contracted,"Drama, Horror, Thriller",English,Movie,1-2 hour,Not Rated,5.3,53,"$4,105 "
Melvin Goes to Dinner,"Comedy, Drama, Romance",English,Movie,1-2 hour,R,6.8,100,"$4,168 "
Singularity,"Action, Adventure, Drama, Sci-Fi",English,Movie,1-2 hour,PG-13,3.8,45,"$4,176 "
A Case of You,"Comedy, Romance",English,Movie,1-2 hour,R,5.6,47,"$4,187 "
Mindscape,"Drama, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,R,6.5,33,"$4,288 "
Generation Iron 2,Documentary,English,Movie,1-2 hour,PG-13,6.1,48,"$4,439 "
Babyteeth,"Comedy, Drama, Music, Romance",English,Movie,1-2 hour,MA-17,7.2,94,"$4,507 "
Kickboxer: Retaliation,"Action, Drama",English,Movie,1-2 hour,R,5,92,"$4,537 "
All Is Bright,"Comedy, Drama","English, French, Russian",Movie,1-2 hour,R,5.6,49,"$4,556 "
Search Party,"Adventure, Comedy","English, Spanish",Movie,1-2 hour,R,5.6,10,"$4,571 "
Ashby,"Comedy, Crime, Drama, Romance",English,Movie,1-2 hour,R,6.4,52,"$4,631 "
I Love You,"Comedy, Drama",English,Movie,1-2 hour,Not Rated,4.3,,"$4,661 "
Slaughterhouse Rulez,"Action, Comedy, Fantasy, Horror, Thriller",English,Movie,1-2 hour,R,5.3,38,"$4,665 "
Farewell Amor,"Drama, Music, Romance",English,Movie,1-2 hour,Unrated,6.9,,"$4,689 "
Jennys Wedding,"Comedy, Drama, Romance",English,Movie,1-2 hour,PG-13,5.5,25,"$4,704 "
Status Update,"Comedy, Fantasy, Romance",English,Movie,1-2 hour,PG-13,5.7,0,"$4,764 "
Tomorrow When the War Began,"Action, Adventure, Drama",English,Series,< 30 minutes,R,6.2,64,"$4,936 "
Social Animals,Comedy,English,Movie,1-2 hour,R,5.3,38,"$5,007 "
Social Animals,Comedy,English,Movie,1-2 hour,R,5.3,38,"$5,007 "
The Things of Life,"Drama, Romance",French,Movie,1-2 hour,GP,7.6,92,"$5,063 "
Cesar and Rosalie,"Drama, Romance","French, English",Movie,1-2 hour,R,7.4,100,"$5,063 "
"Vincent, François, Paul and the Others",Drama,French,Movie,1-2 hour,Not Rated,7.5,100,"$5,063 "
Dhoondte Reh Jaoge,"Comedy, Drama",Hindi,Movie,> 2 hrs,,5.6,26,"$5,127 "
The Dead Lands,"Action, Adventure",Maori,Movie,1-2 hour,R,6.3,69,"$5,240 "
Universal Soldier: Day of Reckoning,"Action, Horror, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,R,5,56,"$5,460 "
Gold,"Adventure, Drama, History",Spanish,Movie,1-2 hour,R,5.6,43,"$5,539 "
Aurora,Drama,Romanian,Movie,> 2 hrs,Not Rated,6.6,77,"$5,677 "
Klovn Forever,"Comedy, Drama","Danish, English",Movie,1-2 hour,R,6.3,59,"$5,700 "
Tad the Lost Explorer and the Secret of King Midas (English Version),"Animation, Adventure, Comedy, Family, Fantasy","English, Spanish",Movie,1-2 hour,PG,6.2,,"$5,874 "
On Wings of Eagles,"Drama, History, Sport, War","English, Mandarin, Japanese",Movie,1-2 hour,PG-13,5.6,62,"$5,975 "
The Other Lamb,"Drama, Horror",English,Movie,1-2 hour,Unrated,5.2,75,"$6,024 "
Barely Lethal,"Action, Comedy",English,Movie,1-2 hour,PG-13,5.4,26,"$6,075 "
To Be of Service,Documentary,English,Movie,1-2 hour,,7.2,,"$6,173 "
The Quake,"Action, Drama, Thriller",Norwegian,Movie,1-2 hour,PG-13,6.2,85,"$6,235 "
Under the Eiffel Tower,"Comedy, Romance",English,Movie,1-2 hour,Not Rated,5.3,,"$6,291 "
Chillar Party,"Comedy, Drama, Family","Hindi, Marathi, English",Movie,> 2 hrs,Not Rated,7.4,77,"$6,330 "
The Adventurer: The Curse of the Midas Box,"Adventure, Family, Fantasy",English,Movie,1-2 hour,PG,5.5,20,"$6,399 "
Scums Wish,"Crime, Drama",English,Series,< 30 minutes,R,7.6,89,"$6,461 "
One Piece: Episode of Alabasta,"Animation, Action, Adventure, Comedy, Drama",Japanese,Movie,1-2 hour,PG-13,7,71,"$6,587 "
Capture the Flag,"Animation, Adventure, Comedy, Family, Sci-Fi","Spanish, Catalan, English",Movie,1-2 hour,PG,5.9,,"$6,690 "
An Evening with Beverly Luff Linn,"Comedy, Crime",English,Movie,1-2 hour,R,5.8,52,"$6,701 "
My Piece of the Pie,"Comedy, Drama","French, English",Movie,1-2 hour,Not Rated,5.8,50,"$6,850 "
Duck Butter,"Comedy, Drama, Romance","English, Catalan, Spanish",Movie,1-2 hour,Not Rated,5.3,57,"$6,877 "
Finding Mr. Right,"Comedy, Romance","Mandarin, English, Min Nan",Movie,> 2 hrs,PG-13,6.4,86,"$6,945 "
I Am Ali,"Documentary, Biography, Sport",English,Movie,1-2 hour,PG,7.2,64,"$7,205 "
Gangsters Paradise: Jerusalema,"Action, Crime, Drama","English, Afrikaans",Movie,1-2 hour,R,7.3,76,"$7,294 "
The Lodgers,"Drama, Horror, Mystery, Romance, Thriller",English,Movie,1-2 hour,R,5.1,56,"$7,362 "
Udaan,Drama,Hindi,Movie,> 2 hrs,Not Rated,8.2,89,"$7,461 "
King of Thieves,"Biography, Crime, Drama, History",English,Movie,1-2 hour,R,5.5,33,"$7,518 "
Area 51,"Horror, Mystery, Sci-Fi, Thriller",English,Movie,1-2 hour,R,4.2,14,"$7,556 "
The President,Drama,Georgian,Movie,1-2 hour,,7.4,84,"$7,578 "
Overdrive,"Action, Thriller","English, French",Movie,1-2 hour,PG-13,5.4,29,"$7,793 "
The Ballad of Lefty Brown,"Action, Drama, Western",English,Movie,1-2 hour,R,6.3,79,"$7,856 "
Kajaki: The True Story,"Adventure, Biography, Drama, Thriller, War",English,Movie,1-2 hour,R,7.1,100,"$7,891 "
Pet,"Horror, Thriller",English,Movie,1-2 hour,R,5.7,,"$8,004 "
Lola,"Drama, Romance","German, English, French, Latin",Movie,1-2 hour,R,7.5,100,"$8,144 "
Gladiatori di Roma,"Animation, Adventure, Comedy","English, Italian",Movie,1-2 hour,PG,5.2,,"$8,201 "
Mojave,"Drama, Thriller","English, Spanish",Movie,1-2 hour,R,5.2,,"$8,253 "
Grace,"Drama, Horror, Thriller",English,Movie,1-2 hour,R,5.1,72,"$8,297 "
Gilberts Grim Revenge,"Documentary, Biography, Comedy",English,Movie,1-2 hour,TV-MA,7.5,95,"$8,362 "
Love is in the Air,"Comedy, Romance","French, English",Series,< 30 minutes,Not Rated,6.3,65,"$8,425 "
The Last King,"Action, Drama, History, War",Norwegian,Movie,1-2 hour,R,6.1,89,"$8,905 "
Clandestine Childhood,Drama,"Spanish, Portuguese",Movie,1-2 hour,Not Rated,7,40,"$9,017 "
Julian Schnabel: A Private Portrait,Documentary,English,Movie,1-2 hour,Not Rated,6.6,50,"$9,103 "
Frank and Lola,"Crime, Drama, Romance, Thriller","English, French, Spanish",Movie,1-2 hour,Unrated,5.9,69,"$9,188 "
Honeymoon,"Drama, Fantasy, Horror, Mystery, Romance, Sci-Fi, Thriller",English,Movie,1-2 hour,R,5.7,76,"$9,318 "
As Tears Go By,"Crime, Drama, Romance",Cantonese,Movie,1-2 hour,Not Rated,7,82,"$9,436 "
Still Life,Drama,English,Movie,1-2 hour,TV-14,7.4,64,"$9,481 "
[Rec] 3: Genesis,"Action, Adventure, Fantasy, Horror, Thriller","Spanish, Catalan, French",Movie,1-2 hour,R,5,40,"$9,600 "
The Truth,Drama,"French, English",Movie,1-2 hour,PG,6.5,,"$9,619 "
Anatomy,"Horror, Thriller","German, Latin",Movie,1-2 hour,R,6.1,58,"$9,660 "
Welcome to the Punch,"Action, Crime, Thriller",English,Movie,1-2 hour,R,6.1,48,"$9,747 "
In the Name of,"Drama, Thriller","Polish, English",Movie,1-2 hour,Not Rated,6.6,77,"$9,883 "
River Runs Red,"Action, Thriller","English, Mandarin, Spanish",Movie,1-2 hour,Not Rated,4.6,22,"$9,893 "
Time Freak,"Comedy, Drama, Romance, Sci-Fi",English,Movie,1-2 hour,PG-13,5.8,55,"$10,003 "
Arjun: The Warrior Prince,"Animation, Action, Adventure",Hindi,Movie,1-2 hour,Not Rated,6.8,67,"$10,017 "
The Last Tree,Drama,English,Movie,1-2 hour,,6.5,98,"$10,128 "
Husbands in Goa,Comedy,Malayalam,Movie,> 2 hrs,Not Rated,3.7,,"$10,135 "
As It Is in Heaven,"Comedy, Drama, Music, Romance","Swedish, English, Italian",Movie,> 2 hrs,Not Rated,7.5,83,"$10,236 "
Serial Killer 1,"Crime, Drama",French,Movie,> 2 hrs,Not Rated,6.6,53,"$10,330 "
Rogue,"Action, Adventure, Drama, Horror, Thriller",English,Movie,1-2 hour,R,6.2,94,"$10,452 "
Class Rank,"Comedy, Family, Romance",English,Movie,1-2 hour,Not Rated,6.4,,"$10,452 "
Rogue,"Action, Adventure, Drama, Horror, Thriller",English,Movie,1-2 hour,R,6.2,94,"$10,452 "
Autopsy of Jane Doe,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,6.8,87,"$10,474 "
Empire of Lust,"Action, Drama, Romance",Korean,Movie,1-2 hour,,5.9,,"$10,654 "
Special Forces,"Action, Drama, War","French, English",Movie,1-2 hour,R,6.4,15,"$10,759 "
Time and Tide,"Action, Crime, Drama, Thriller","Mandarin, Hokkien, Cantonese, English, Portuguese",Movie,1-2 hour,R,6.9,64,"$10,770 "
The Players,Comedy,French,Movie,1-2 hour,R,5.3,30,"$10,854 "
The Front Line,"Action, Drama, History, War","Korean, English",Movie,> 2 hrs,Not Rated,7.4,67,"$11,018 "
Dragon,"Action, Crime, Drama, Thriller",Mandarin,Movie,1-2 hour,R,7.1,85,"$11,137 "
Dragons Dogma,"Action, Crime, Drama, Thriller",Mandarin,Series,< 30 minutes,R,7.1,85,"$11,137 "
The Wedding Party 2: Destination Dubai,Comedy,English,Movie,1-2 hour,,4.7,,"$11,140 "
So Young,"Drama, Romance","Mandarin, English",Movie,> 2 hrs,,6.4,60,"$11,186 "
In Like Flynn,"Action, Adventure",English,Movie,1-2 hour,R,5.2,,"$11,255 "
JeruZalem,"Horror, Sci-Fi, Thriller",English,Movie,1-2 hour,R,4.8,,"$11,287 "
Youre Not You,Drama,"English, American Sign Language",Movie,1-2 hour,R,7.3,48,"$11,486 "
Dead Awake,"Drama, Horror, Mystery, Thriller",English,Movie,1-2 hour,Not Rated,4.6,,"$11,528 "
Grizzlies,"Biography, Drama","Inuktitut, English",Movie,1-2 hour,R,7.5,85,"$11,650 "
Dont Call Me Son,Drama,Portuguese,Movie,1-2 hour,Unrated,6.8,83,"$11,678 "
White Wedding,"Comedy, Romance","Zulu, Afrikaans, Xhosa, English",Movie,1-2 hour,PG-13,5.8,56,"$11,710 "
Sweet Virginia,"Action, Drama, Thriller",English,Movie,1-2 hour,R,6.2,79,"$11,753 "
Falcon Rising,"Action, Adventure, Crime, Thriller",English,Movie,1-2 hour,R,5.8,43,"$11,774 "
Vengeance Is Mine,"Crime, Drama","Japanese, English",Movie,> 2 hrs,Not Rated,7.8,100,"$11,891 "
Kill Zone 2,"Action, Adventure, Crime, Thriller","Mandarin, Cantonese, Thai, English, Korean",Movie,> 2 hrs,Not Rated,6.7,100,"$11,998 "
A Murder in the Park,"Documentary, Crime, History",English,Movie,1-2 hour,PG-13,7.3,76,"$12,088 "
"If I Want to Whistle, I Whistle",Drama,Romanian,Movie,< 30 minutes,Unrated,7.1,68,"$12,135 "
Wolves,"Action, Fantasy, Horror, Romance, Thriller",English,Movie,1-2 hour,R,5.3,24,"$12,139 "
Head Full of Honey,"Comedy, Drama",English,Movie,> 2 hrs,PG-13,4.8,0,"$12,350 "
"Kiki, Love to Love","Comedy, Romance","Spanish, English, Spanish Sign Language",Movie,1-2 hour,Not Rated,6.5,73,"$12,450 "
Taipei Story,Drama,"Min Nan, Mandarin, Hokkien",Movie,1-2 hour,Not Rated,7.7,100,"$12,897 "
All Things Fair,"Drama, Romance, War","Swedish, English, German",Movie,> 2 hrs,Unrated,6.9,78,"$13,128 "
Red Obsession,"Documentary, History, News",English,Movie,1-2 hour,Not Rated,6.7,86,"$13,199 "
Hagazussa: A Heathens Curse,"Drama, Horror",German,Movie,1-2 hour,,5.9,,"$13,253 "
A Long Way Down,"Comedy, Drama",English,Movie,1-2 hour,R,6.4,22,"$13,347 "
War of the Worlds: Goliath,"Animation, Action, Adventure, Sci-Fi",English,Movie,1-2 hour,PG-13,5.4,,"$13,385 "
Love for Sale,Drama,Portuguese,Movie,1-2 hour,Not Rated,7.2,75,"$13,703 "
The Day He Arrives,"Comedy, Drama",Korean,Movie,1-2 hour,Not Rated,7,91,"$13,746 "
Touch Me Not,Drama,"English, German",Movie,> 2 hrs,Not Rated,5.9,59,"$13,782 "
Stavisky...,"Biography, Crime, Drama","French, English",Movie,1-2 hour,PG,6.6,91,"$13,793 "
13 Sins,"Horror, Thriller",English,Movie,1-2 hour,R,6.3,65,"$13,809 "
Weed the People,Documentary,English,Movie,1-2 hour,,7.3,100,"$13,926 "
Screwball,Documentary,English,Movie,1-2 hour,,7.1,94,"$13,967 "
A Perfect Day,"Comedy, Drama, War","English, Serbian, Spanish, French, Bosnian",Movie,1-2 hour,R,6.8,72,"$14,044 "
A Perfect Day,"Comedy, Drama, War","English, Serbian, Spanish, French, Bosnian",Movie,1-2 hour,R,6.8,72,"$14,044 "
Kill the King,"Action, Crime, Drama, Romance",English,Movie,1-2 hour,TV-14,5.1,38,"$14,073 "
A Prayer Before Dawn,"Action, Biography, Crime, Drama, Sport","English, Thai",Movie,1-2 hour,R,6.9,92,"$14,453 "
Armadillo,"Documentary, War",Danish,Movie,1-2 hour,Not Rated,7.5,91,"$14,566 "
Silent Night,"Comedy, Horror, Mystery, Thriller",English,Movie,1-2 hour,R,5.2,64,"$14,567 "
Remember You,"Drama, Mystery, Romance",Korean,Movie,1-2 hour,PG-13,6.6,,"$14,814 "
6 Below: Miracle on the Mountain,"Adventure, Biography, Drama, Sport, Thriller",English,Movie,1-2 hour,PG-13,5.7,22,"$14,838 "
Chocolate,"Action, Drama","Thai, Japanese, English",Movie,1-2 hour,R,6.9,73,"$14,845 "
ZZ TOP: THAT LITTLE OL BAND FROM TEXAS,"Documentary, Biography, Music",English,Movie,1-2 hour,,7.5,100,"$14,879 "
Ong Bak 3,Action,Thai,Movie,1-2 hour,R,5,50,"$14,890 "
Zombeavers,"Comedy, Horror",English,Movie,1-2 hour,R,4.8,70,"$14,947 "
Barefoot,"Comedy, Drama, Romance",English,Movie,1-2 hour,PG-13,6.6,17,"$15,071 "
Funan,"Animation, War",French,Movie,1-2 hour,,6.9,93,"$15,152 "
Memories of Murder,"Crime, Drama, Mystery, Thriller","Korean, English",Movie,> 2 hrs,Not Rated,8.1,,"$15,357 "
Save the Green Planet!,"Comedy, Sci-Fi, Thriller",Korean,Movie,1-2 hour,Not Rated,7.3,90,"$15,516 "
Evils Wave,Drama,"Swedish, Finnish",Series,< 30 minutes,Not Rated,7.8,68,"$15,530 "
Evil,Drama,"Swedish, Finnish",Series,< 30 minutes,Not Rated,7.8,68,"$15,530 "
Five Nights in Maine,Drama,English,Movie,1-2 hour,Unrated,4.7,27,"$15,587 "
Anchor Baby,"Drama, Thriller",English,Movie,1-2 hour,Not Rated,6.3,67,"$15,790 "
Piercing,"Horror, Mystery, Thriller",English,Movie,1-2 hour,R,5.6,73,"$15,856 "
Straight Up,"Comedy, Romance","English, French",Movie,1-2 hour,Not Rated,6.8,93,"$16,080 "
Centigrade,"Drama, Thriller",English,Movie,1-2 hour,Unrated,4.3,,"$16,263 "
Mission Control: The Unsung Heroes of Apollo,"Documentary, History",English,Movie,1-2 hour,TV-PG,7.6,,"$16,405 "
Mumbai Meri Jaan,Drama,Hindi,Movie,> 2 hrs,Not Rated,7.7,78,"$16,407 "
Extraction,"Action, Thriller",English,Movie,1-2 hour,R,4.1,6,"$16,775 "
Grandmaster,"Action, Thriller",Malayalam,Movie,> 2 hrs,Not Rated,7,50,"$17,077 "
Trash,"Adventure, Crime, Drama, Mystery, Thriller","Portuguese, English",Movie,1-2 hour,R,7.2,66,"$17,484 "
The History of Future Folk,"Comedy, Music, Sci-Fi","English, Spanish",Movie,1-2 hour,Not Rated,7.2,95,"$17,646 "
Comrades: Almost a Love Story,"Drama, Romance","Cantonese, Mandarin, English",Movie,1-2 hour,,8.1,89,"$17,676 "
Marlina the Murderer in Four Acts,"Drama, Thriller, Western",Indonesian,Movie,1-2 hour,Not Rated,7,98,"$17,788 "
The Last Shaman,"Documentary, Adventure, Drama, Family","English, Spanish",Movie,1-2 hour,,6.7,,"$17,844 "
Gangnam Blues,"Action, Crime, Drama",Korean,Movie,> 2 hrs,Not Rated,6.3,60,"$18,022 "
Clash,"Drama, Thriller, War","Arabic, English",Movie,1-2 hour,Not Rated,7.5,93,"$18,215 "
Twice Born,"Drama, Romance, War","English, Italian, Bosnian",Movie,> 2 hrs,R,7.4,17,"$18,295 "
Deadfall,"Crime, Drama",English,Movie,1-2 hour,R,4,0,"$18,369 "
Two Night Stand,"Comedy, Romance",English,Movie,1-2 hour,R,6.4,38,"$18,612 "
Seoul Searching,"Comedy, Drama, Music, Romance","English, Korean, German",Movie,1-2 hour,TV-MA,7,75,"$18,654 "
Sputnik,"Drama, Horror, Sci-Fi, Thriller","Russian, Latin",Movie,1-2 hour,Not Rated,6.4,,"$18,853 "
Steal a Pencil for Me,"Documentary, Romance","English, Dutch",Movie,1-2 hour,Not Rated,7.5,95,"$18,918 "
Carrie Pilby,"Comedy, Drama",English,Movie,1-2 hour,Not Rated,6.7,62,"$18,957 "
A Hard Day,"Action, Crime, Thriller",Korean,Movie,1-2 hour,Not Rated,7.2,83,"$19,004 "
City Lights,"Comedy, Drama, Romance","None, English",Movie,1-2 hour,G,8.5,98,"$19,181 "
Beauty in Trouble,"Comedy, Drama",Czech,Movie,1-2 hour,Unrated,6.8,86,"$19,300 "
Love and Honor,"Drama, Romance, War",English,Movie,> 2 hrs,PG-13,5.7,13,"$19,684 "
Freak Show,"Comedy, Drama",English,Movie,1-2 hour,Not Rated,6.6,53,"$19,696 "
Leo Da Vinci: Mission Mona Lisa,"Animation, Adventure, Family",English,Movie,1-2 hour,,5.1,,"$19,978 "
Light of My Life,"Drama, Sci-Fi, Thriller",English,Movie,1-2 hour,R,6.6,82,"$20,056 "
Ichi the Killer,"Action, Comedy, Crime, Drama, Horror, Thriller","Japanese, Cantonese, English",Movie,> 2 hrs,R,7,65,"$20,285 "
Better Watch Out,"Comedy, Horror, Thriller",English,Movie,1-2 hour,R,6.5,89,"$20,369 "
RV: Resurrected Victims,"Action, Mystery, Thriller",Korean,Movie,1-2 hour,,5.7,50,"$20,374 "
"Love, Rosie","Comedy, Romance",English,Movie,1-2 hour,R,7.2,32,"$20,431 "
The Devil and Father Amorth,"Documentary, Horror","English, Italian",Movie,1-2 hour,Not Rated,4.6,,"$20,449 "
Tony Manero,"Drama, Music","Spanish, English",Movie,< 30 minutes,TV-MA,6.8,84,"$20,677 "
All These Sleepless Nights,"Documentary, Drama",Polish,Movie,1-2 hour,R,6.6,69,"$20,762 "
The Hole in the Ground,"Drama, Horror, Mystery",English,Movie,1-2 hour,R,5.6,83,"$21,072 "
Shoot the Piano Player,"Crime, Drama, Thriller",French,Movie,1-2 hour,Not Rated,7.5,90,"$21,124 "
Term Life,"Action, Crime, Drama, Thriller",English,Movie,1-2 hour,R,5.6,0,"$21,256 "
The Guys,Drama,English,Movie,1-2 hour,PG,6.3,73,"$21,366 "
Trophy,Documentary,English,Movie,1-2 hour,Not Rated,7.3,96,"$21,439 "
Blue Jay,"Drama, Romance",English,Movie,1-2 hour,Unrated,7.3,91,"$21,626 "
The Female Brain,Comedy,English,Movie,1-2 hour,Not Rated,5.8,35,"$21,786 "
Blue Exorcist: The Movie,"Animation, Adventure, Family, Fantasy",Japanese,Movie,1-2 hour,,7.2,79,"$21,796 "
Bending the Arc,Documentary,English,Movie,1-2 hour,,7.7,100,"$21,907 "
Loving Pablo,"Biography, Crime, Drama","English, Spanish",Movie,> 2 hrs,R,6.3,31,"$22,017 "
Una,"Drama, Romance",English,Movie,1-2 hour,R,6.2,76,"$22,815 "
Court,Drama,"Marathi, Gujarati, English, Hindi",Movie,1-2 hour,,7.7,98,"$22,898 "
Tiny Times,"Drama, Romance","Mandarin, English",Movie,1-2 hour,Not Rated,3.1,38,"$23,462 "
Lolo,Comedy,"French, English",Movie,1-2 hour,Not Rated,5.7,57,"$24,134 "
Elliot the Littlest Reindeer,"Animation, Family",English,Movie,1-2 hour,PG,5.1,29,"$24,262 "
Kill Me Three Times,"Action, Comedy, Crime, Thriller",English,Movie,1-2 hour,R,5.9,16,"$24,296 "
Hattrick,"Comedy, Drama, Romance, Sport",Hindi,Movie,1-2 hour,,4.2,20,"$24,502 "
Big Game,"Action, Adventure","English, Finnish",Movie,1-2 hour,PG-13,5.4,78,"$24,752 "
In Another Country,Drama,"Korean, English, French",Movie,1-2 hour,Not Rated,6.4,83,"$25,079 "
Asako I & II,"Drama, Romance","Japanese, English",Movie,1-2 hour,Not Rated,6.9,,"$25,559 "
Elena,"Documentary, Biography, Drama, Family","Portuguese, English",Movie,1-2 hour,,7.6,81,"$25,788 "
The Cured,"Drama, Horror, Sci-Fi",English,Movie,1-2 hour,R,5.5,70,"$26,630 "
The Sweeney,"Action, Crime, Drama","English, Serbian",Movie,1-2 hour,R,6.1,46,"$26,650 "
Blackway,Thriller,English,Movie,1-2 hour,R,5.3,,"$27,079 "
